stockname,datetime,news,link
GICRE,2026-04-10 23:53 IST,General Insurance Corporation of India Receives Tax Demand Notice of ₹350.47 Crore - InvestyWise,https://news.google.com/rss/articles/CBMilwFBVV95cUxNLXU2bXptNUNJR1d1c0U3LWExU0QxaVAtZ0I1ejZkLTZrQW41Y2kxVGtLbFRNVVpjWThaVlhmVlM1WDhJWHpWblF1TF9tVUpLUGVKWGw3eVVKbEQyTUdibmlqMDQ5dU1TWE5DZjhjY0otZG1ZSXUzVFJSdlNhTGh0aFA0Q0tfeFJrQ3pKenZ0YnBmd1J4R0NV?oc=5&hl=en-US&gl=US&ceid=US:en
GICRE,2026-04-09 17:36 IST,General insurance premium grow 9% to Rs 3.36 lakh crore in FY26 - The Financial Express,https://news.google.com/rss/articles/CBMiugFBVV95cUxOaDFqdzVZU3p0d2twLWxZNjlwMzF6akpfNjhDODNSaVVsWXNIMDZTUVFaZENPS3c4M3FIek9acTRfN0pDTi1fVTI3TzZ0QVRTeE5ZenNjNnV1RmRCQ2RzQWRPSndiUzZZZ0pxZWVlMi1US3hUV1VVeHpBbGg3QzBORzc4aGMtRWJOVkg2ekxCd0NEeE1YNWlKWmxWdnhYT0J4YVhLaThnRDNoMjVVRWs3b2ZucmR2TEg4OFHSAcABQVVfeXFMUGVfeldvNTlQaFNzdTB3WllOQzVDWGVXOWRqWmsyUTBGdTk5QUhLUzI3dlhhYTdKeVRqQ3VSZmREQjhnUmRYSE9nbmREMGtlNkNGOWlGMlR5YWtQdHJGVUZ6SGkzRkpxZTlaTThXeE9ZRzVWcl9fOUNQalVWX1hhQ19PWWluTjE2dzZtR0pCaEpmeFAtcGthNmh2M0lKMHJQU25mbXVTOHliYTUtTnYxVkRrTzQySjhSQ0VEQ0tlbm9W?oc=5&hl=en-US&gl=US&ceid=US:en
GICRE,2026-04-09 01:40 IST,"CO-OPERATORS GENERAL INSURANCE COMPANY DECLARES QUARTERLY DIVIDEND ON: CLASS E, SERIES C PREFERENCE SHARES - Yahoo Finance Singapore",https://news.google.com/rss/articles/CBMikAFBVV95cUxNZ25YcVNzaTEtdklNa1VZRWYyU0hFRUU3THhSTGhPMXE1UTNwVnRIMGE2bVM5TXhqeUt6M1Q0LTlORXpIa1lVWGZlZGFzdW1FdUJKLVJucmllazFTRGtWVzN0Y2U3S0pUSGNFWm5RakpyVnRqLVdDazBLa2R4X2NzeTRfX2hzR25nM1paQWp3SVU?oc=5&hl=en-US&gl=US&ceid=US:en
GICRE,2026-04-06 21:03 IST,M Pallonji Group gets IRDAI’s R1 nod for general insurance venture - The Economic Times,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPVVR1eGktQ2lFLTBEeHNwVEtveTZlRnV3aENCOGpDekNoVlRqWmloSUJUTGI5aDBmUGpxaWRFS0U0cmJCS0t3SDVPakRwa0x2NUxUN2UzVWhnQ1pnRTNoNXpRN0RiU3BucThlNFdPYjI2MWt0WXhXQUhvSEFFSlFWbWhGdDE2MlVfYXNybGxMVXJiUEpRelp3Mmw0b1B1bzBzazNNekRBVkRRZW0wNTFsbzRRMHNpV2hOdXFqb0ZzMm5lVmpNbFdIS25UdTVsaGpERWJfcDFPc0g5WmNBa3g5UWZNT1dZZ9IB6wFBVV95cUxOaGNZSVk0UXlVNWgtUU1HY1E1X2VJQXBYRG1sMzFkMTFfQWtLY1V3a2hQN25wVDRhQnh3Z1VVUjdISHFuVWhwSzZUSW5tR2lSb1k3SkdKbGRaT3Y0dklDQzhualNZYmlzNGxhempCTjNGLTlFZFRKdXh5T0hLQ2E4VWl4XzhwR2ZJM0VtbERRbHpjVXl0LTM3NFVKMlhXMFBWQmc1QkJiM2JOQy1nSnZCYy0wWVp6ODluaDMxMXRTazJDdnZPODZQSTZjeFRDbXkzV0FraUdaTTJwNHBEM2x0UFJvNnFvbWhWZ0JF?oc=5&hl=en-US&gl=US&ceid=US:en
GICRE,2026-04-06 01:43 IST,General Insurance Corporation of India is Rated Hold - Markets Mojo,https://news.google.com/rss/articles/CBMitAFBVV95cUxOT1MxaTZvY003MUVoZ2FmbUtZTXRubjZQSUFuVlFSMkw3RVZvb2MzaHBjcjhaeHF0VUVaWDVvMXEzbU80WGwzQW5NZXM5N1V6OE5aTGM4ajJIZE4yWE1NMVJ5UVFwd21WNFg1enJKSWFtcXYzT1FtS2RjWnNUVC10dGtnUjk3VXBKdEtXdW1YSm1tNUlvZVVheC1FSzBkVGpVMlFMbWh3eWJ5WmJBcjJOT0w0b0w?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-10 23:37 IST,Gabriel India Limited Publishes Postal Ballot Notice for Independent Director Re-appointment - scanx.trade,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPM0JqOWpxSTdMbTBBMUpLU3dIeXp5V2dkZGprSUMyYkNFWlp1Y3RYTHhNOUprZFdqLUlzTnB5dU1LRWFrTElQTEh4ZC00MTJkejZPS2NYTXhEb25pMGU3eVdfZmFJcFZld2hSbm8zeW1FZXh0aUZjck5WbjZRT3pEdVRFeU9FZ0ZHLTNOelZqUXFWVXVLeGw3RzBkWmZCVEYtc3A1ckxnYlUzNEpWQVJCcHhSSFlBTkdSR3phd2dUVVh2WVM4ZnNhak5CczZfSDZBcU5qOHJLMzFvdlNiTGRj?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-08 00:07 IST,Gabriel Jesus Calls for Fearlessness in Arsenal's Title Pursuit - The News Mill,https://news.google.com/rss/articles/CBMixgFBVV95cUxOUlA0U0RmeExmZ2Z0Z2h5bFVkUENWbzhFQTZpSUd5UVh0RkloV1lzYzNxSzZDcDZxRkNha1M2OUYzVU5rV2twRldKbUpkUkwxWFpOcjVNWmNTNDZJSlAwUk9iNmYzaG9JdlpET1ctRGN6bFJoYWVOMV9jTEQ1ME5DV2tyWE9FeVl3cDBuSVhDV0k4WllPdDZYRUd3aVdlbjRwb2tITEtuTDdITS1YSGZJbFRQMUJseU13ZEtZaWdlXzVBWU5Ycnc?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-07 02:27 IST,Gabriel India Ltd Valuation Shifts to Fair; Market Performance Lags Sensex - marketsmojo.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxNbE5tZTBLV3JHaTZQcHk2RDRTc0plRWk1UGpDZUpwN3RzSllSYmRBMUVfODFIX2hKTkY3Z0VkNXFvUmNTSXdEQlVXQXVpTnhYZ3JLZnBXcVdkNUFWbU1nelRQM3l4c24tallpN21URG9taU9ZeXVtbTRMLS1jWS1vbXFzODMtcmNmSDZwNWpneDlOck9lam1nd3p1em9uQVlBYUVHWjByQlRfZmNUM3lxQkFVUmZ3YUVacHExQUY5VFh0SlJWc1hvQlhWQQ?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-07 01:28 IST,Gabriel India Ltd Faces Bearish Momentum Amid Technical Indicator Shifts - marketsmojo.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxQZE9DalR1ZU5meUhCQm9BakpPUjVSV2dpaVdpckkxcjk2U2ZLUGVFRFdkVjdWcjhYY3NKZFVPamtPckdsdTZWc21mbmEzbTFGNVJydFRrd0dhUnBzbGhuLWJrS2U5aGNReDVJelFrWjlSMmJXX2pEakY2ZEwtTzU1R2ZYU25XNE1zdTI3d0cyTUtnUkNDdXlmbEl6aUhhNnVfaHVtalZ4R3lvUnd4a05IcnRRVmRjY3lhcHNsQi1waVJEQWNFdTVzZUJB?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-06 12:30 IST,Gabriel Pet Straps Limited Scrutinizer's Report Confirms Unanimous EGM Approval - scanx.trade,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNWENITzRIaVl4SnNwQTBQTlRMUUo3cG5GOExqMjdfOFdKNU1uV3JkeWdSejJsLUtsTEszN3k0cDRCYkxPbHZPTE5VQ2xVLTdDUHp4MWJNVUExeWNKQUpSSFhJNm1TdGgxNUR6bklHN1dJdTkxcUtaQmwxUTJ3aUV3bE1rQ19jT2E3X0JBMjlVaVlWRjF5QTZidFJpRzJZVW05VEw2OFptY3RucnhrVUJXZXBQZnpQd3BUMkN2S0tTaTZmZGpiWnR1MkdXb3F6MnJpd0lrTjNya3p0bVB1QlZR?oc=5&hl=en-US&gl=US&ceid=US:en
